[INIT] Loading regulations with CORRECT Ortax IDs...
[2026-02-28 04:48:52] [396/20416] Processing regulation ID 26274...
[2026-02-28 04:48:56]   ✓ Content fetched: 13826 characters
[2026-02-28 04:48:58] [397/20416] Processing regulation ID 26272...
[2026-02-28 04:49:02]   ✓ Content fetched: 13512 characters
[2026-02-28 04:49:04] [398/20416] Processing regulation ID 26242...
[2026-02-28 04:49:09]   ✓ Content fetched: 13817 characters
[2026-02-28 04:49:11] [399/20416] Processing regulation ID 26716...
[2026-02-28 04:49:15]   ✓ Content fetched: 4575 characters
[2026-02-28 04:49:17] [400/20416] Processing regulation ID 26237...
[2026-02-28 04:49:21]   ✓ Content fetched: 4623 characters
[2026-02-28 04:49:21] [PROGRESS] Saved: 400/20416 (2.0%) - With content: 400
[2026-02-28 04:49:23] [401/20416] Processing regulation ID 26705...
[2026-02-28 04:49:27]   ✓ Content fetched: 252 characters
[2026-02-28 04:49:29] [402/20416] Processing regulation ID 26430...
[2026-02-28 04:49:32]   ✓ Content fetched: 3116 characters
[2026-02-28 04:49:34] [403/20416] Processing regulation ID 26234...
[2026-02-28 04:49:38]   ✓ Content fetched: 2136 characters
[2026-02-28 04:49:40] [404/20416] Processing regulation ID 26231...
[2026-02-28 04:49:44]   ✓ Content fetched: 111 characters
[2026-02-28 04:49:46] [405/20416] Processing regulation ID 26229...
[2026-02-28 04:49:50]   ✓ Content fetched: 4623 characters
[2026-02-28 04:49:52] [406/20416] Processing regulation ID 26536...
[2026-02-28 04:49:55]   ✓ Content fetched: 10262 characters
[2026-02-28 04:49:57] [407/20416] Processing regulation ID 26238...
[2026-02-28 04:50:01]   ✓ Content fetched: 10983 characters
[2026-02-28 04:50:03] [408/20416] Processing regulation ID 26703...
[2026-02-28 04:50:07]   ✓ Content fetched: 6320 characters
[2026-02-28 04:50:09] [409/20416] Processing regulation ID 26442...
[2026-02-28 04:50:12]   ✓ Content fetched: 10106 characters
[2026-02-28 04:50:14] [410/20416] Processing regulation ID 26283...
[2026-02-28 04:50:18]   ✓ Content fetched: 5157 characters
[2026-02-28 04:50:18] [PROGRESS] Saved: 410/20416 (2.0%) - With content: 410
[2026-02-28 04:50:20] [411/20416] Processing regulation ID 26220...
[2026-02-28 04:50:24]   ✓ Content fetched: 4619 characters
[2026-02-28 04:50:26] [412/20416] Processing regulation ID 26454...
[2026-02-28 04:50:30]   ✓ Content fetched: 10008 characters
[2026-02-28 04:50:32] [413/20416] Processing regulation ID 26230...
[2026-02-28 04:50:36]   ✓ Content fetched: 7658 characters
[2026-02-28 04:50:38] [414/20416] Processing regulation ID 26744...
[2026-02-28 04:50:41]   ✓ Content fetched: 8968 characters
[2026-02-28 04:50:43] [415/20416] Processing regulation ID 26285...
[2026-02-28 04:50:47]   ✓ Content fetched: 10637 characters
[2026-02-28 04:50:49] [416/20416] Processing regulation ID 26250...
[2026-02-28 04:50:53]   ✓ Content fetched: 13853 characters
[2026-02-28 04:50:55] [417/20416] Processing regulation ID 26249...
[2026-02-28 04:50:59]   ✓ Content fetched: 15107 characters
[2026-02-28 04:51:01] [418/20416] Processing regulation ID 26248...
[2026-02-28 04:51:05]   ✓ Content fetched: 13772 characters
[2026-02-28 04:51:07] [419/20416] Processing regulation ID 26247...
[2026-02-28 04:51:11]   ✓ Content fetched: 13434 characters
[2026-02-28 04:51:13] [420/20416] Processing regulation ID 26246...
[2026-02-28 04:51:17]   ✓ Content fetched: 15042 characters
[2026-02-28 04:51:17] [PROGRESS] Saved: 420/20416 (2.1%) - With content: 420
[2026-02-28 04:51:19] [421/20416] Processing regulation ID 26226...
[2026-02-28 04:51:22]   ✓ Content fetched: 6580 characters
[2026-02-28 04:51:24] [422/20416] Processing regulation ID 26222...
[2026-02-28 04:51:28]   ✓ Content fetched: 3303 characters
[2026-02-28 04:51:30] [423/20416] Processing regulation ID 26214...
[2026-02-28 04:51:34]   ✓ Content fetched: 2535 characters
[2026-02-28 04:51:36] [424/20416] Processing regulation ID 26336...
[2026-02-28 04:51:40]   ✓ Content fetched: 4009 characters
[2026-02-28 04:51:42] [425/20416] Processing regulation ID 26223...
[2026-02-28 04:51:46]   ✓ Content fetched: 8043 characters
[2026-02-28 04:51:48] [426/20416] Processing regulation ID 26212...
[2026-02-28 04:51:51]   ✓ Content fetched: 232 characters
[2026-02-28 04:51:53] [427/20416] Processing regulation ID 26211...
[2026-02-28 04:51:57]   ✓ Content fetched: 251 characters
[2026-02-28 04:51:59] [428/20416] Processing regulation ID 26210...
[2026-02-28 04:52:03]   ✓ Content fetched: 215 characters
[2026-02-28 04:52:05] [429/20416] Processing regulation ID 26209...
[2026-02-28 04:52:08]   ✓ Content fetched: 111 characters
[2026-02-28 04:52:10] [430/20416] Processing regulation ID 26205...
[2026-02-28 04:52:14]   ✓ Content fetched: 5841 characters
[2026-02-28 04:52:14] [PROGRESS] Saved: 430/20416 (2.1%) - With content: 430
[2026-02-28 04:52:16] [431/20416] Processing regulation ID 26206...
[2026-02-28 04:52:20]   ✓ Content fetched: 4627 characters
[2026-02-28 04:52:22] [432/20416] Processing regulation ID 26720...
[2026-02-28 04:52:26]   ✓ Content fetched: 9138 characters
[2026-02-28 04:52:28] [433/20416] Processing regulation ID 26528...
[2026-02-28 04:52:32]   ✓ Content fetched: 10520 characters
[2026-02-28 04:52:34] [434/20416] Processing regulation ID 26204...
[2026-02-28 04:52:37]   ✓ Content fetched: 4683 characters
[2026-02-28 04:52:39] [435/20416] Processing regulation ID 26198...
[2026-02-28 04:52:43]   ✓ Content fetched: 4639 characters
[2026-02-28 04:52:45] [436/20416] Processing regulation ID 26202...
[2026-02-28 04:52:49]   ✓ Content fetched: 7582 characters
[2026-02-28 04:52:51] [437/20416] Processing regulation ID 26188...
[2026-02-28 04:52:55]   ✓ Content fetched: 4639 characters
[2026-02-28 04:52:57] [438/20416] Processing regulation ID 26208...
[2026-02-28 04:53:01]   ✓ Content fetched: 10047 characters
[2026-02-28 04:53:03] [439/20416] Processing regulation ID 26203...
[2026-02-28 04:53:09]   ✓ Content fetched: 1965 characters
[2026-02-28 04:53:11] [440/20416] Processing regulation ID 26193...
[2026-02-28 04:53:15]   ✓ Content fetched: 11270 characters
[2026-02-28 04:53:15] [PROGRESS] Saved: 440/20416 (2.2%) - With content: 440
[2026-02-28 04:53:17] [441/20416] Processing regulation ID 26189...
[2026-02-28 04:53:20]   ✓ Content fetched: 111 characters
[2026-02-28 04:53:22] [442/20416] Processing regulation ID 26216...
[2026-02-28 04:53:26]   ✓ Content fetched: 11826 characters
[2026-02-28 04:53:28] [443/20416] Processing regulation ID 26284...
[2026-02-28 04:53:32]   ✓ Content fetched: 11856 characters
[2026-02-28 04:53:34] [444/20416] Processing regulation ID 26665...
[2026-02-28 04:53:38]   ✓ Content fetched: 231 characters
[2026-02-28 04:53:40] [445/20416] Processing regulation ID 26745...
[2026-02-28 04:53:44]   ✓ Content fetched: 9923 characters
[2026-02-28 04:53:46] [446/20416] Processing regulation ID 26175...
[2026-02-28 04:53:49]   ✓ Content fetched: 4635 characters
[2026-02-28 04:53:51] [447/20416] Processing regulation ID 26731...
[2026-02-28 04:53:55]   ✓ Content fetched: 10943 characters
[2026-02-28 04:53:57] [448/20416] Processing regulation ID 26741...
[2026-02-28 04:54:01]   ✓ Content fetched: 5584 characters
[2026-02-28 04:54:03] [449/20416] Processing regulation ID 26287...
[2026-02-28 04:54:07]   ✓ Content fetched: 13091 characters
[2026-02-28 04:54:09] [450/20416] Processing regulation ID 26181...
[2026-02-28 04:54:13]   ✓ Content fetched: 3517 characters
[2026-02-28 04:54:13] [PROGRESS] Saved: 450/20416 (2.2%) - With content: 450
[2026-02-28 04:54:15] [451/20416] Processing regulation ID 26171...
[2026-02-28 04:54:19]   ✓ Content fetched: 111 characters
[2026-02-28 04:54:21] [452/20416] Processing regulation ID 26169...
[2026-02-28 04:54:24]   ✓ Content fetched: 5861 characters
[2026-02-28 04:54:26] [453/20416] Processing regulation ID 26168...
[2026-02-28 04:54:30]   ✓ Content fetched: 2551 characters
[2026-02-28 04:54:32] [454/20416] Processing regulation ID 26174...
[2026-02-28 04:54:36]   ✓ Content fetched: 215 characters
[2026-02-28 04:54:38] [455/20416] Processing regulation ID 26173...
[2026-02-28 04:54:41]   ✓ Content fetched: 251 characters
[2026-02-28 04:54:43] [456/20416] Processing regulation ID 26172...
[2026-02-28 04:54:47]   ✓ Content fetched: 232 characters
[2026-02-28 04:54:49] [457/20416] Processing regulation ID 26167...
[2026-02-28 04:54:53]   ✓ Content fetched: 4258 characters
[2026-02-28 04:54:55] [458/20416] Processing regulation ID 26166...
[2026-02-28 04:54:58]   ✓ Content fetched: 817 characters
[2026-02-28 04:55:00] [459/20416] Processing regulation ID 26183...
[2026-02-28 04:55:04]   ✓ Content fetched: 111 characters
[2026-02-28 04:55:06] [460/20416] Processing regulation ID 26863...
[2026-02-28 04:55:10]   ✓ Content fetched: 13131 characters
[2026-02-28 04:55:10] [PROGRESS] Saved: 460/20416 (2.3%) - With content: 460
[2026-02-28 04:55:12] [461/20416] Processing regulation ID 26165...
[2026-02-28 04:55:16]   ✓ Content fetched: 4756 characters
[2026-02-28 04:55:18] [462/20416] Processing regulation ID 26265...
[2026-02-28 04:55:22]   ✓ Content fetched: 10138 characters
[2026-02-28 04:55:24] [463/20416] Processing regulation ID 26180...
[2026-02-28 04:55:27]   ✓ Content fetched: 4401 characters
[2026-02-28 04:55:29] [464/20416] Processing regulation ID 26880...
[2026-02-28 04:55:33]   ✓ Content fetched: 11412 characters
[2026-02-28 04:55:35] [465/20416] Processing regulation ID 26154...
[2026-02-28 04:55:39]   ✓ Content fetched: 4639 characters
[2026-02-28 04:55:41] [466/20416] Processing regulation ID 26176...
[2026-02-28 04:55:45]   ✓ Content fetched: 5784 characters
[2026-02-28 04:55:47] [467/20416] Processing regulation ID 26159...
[2026-02-28 04:55:51]   ✓ Content fetched: 5759 characters
[2026-02-28 04:55:53] [468/20416] Processing regulation ID 26157...
[2026-02-28 04:55:57]   ✓ Content fetched: 5898 characters
[2026-02-28 04:55:59] [469/20416] Processing regulation ID 26156...
[2026-02-28 04:56:02]   ✓ Content fetched: 2248 characters
[2026-02-28 04:56:04] [470/20416] Processing regulation ID 26155...
[2026-02-28 04:56:08]   ✓ Content fetched: 2066 characters
[2026-02-28 04:56:08] [PROGRESS] Saved: 470/20416 (2.3%) - With content: 470
[2026-02-28 04:56:10] [471/20416] Processing regulation ID 26153...
[2026-02-28 04:56:14]   ✓ Content fetched: 111 characters
[2026-02-28 04:56:16] [472/20416] Processing regulation ID 26152...
[2026-02-28 04:56:20]   ✓ Content fetched: 111 characters
[2026-02-28 04:56:22] [473/20416] Processing regulation ID 26866...
[2026-02-28 04:56:25]   ✓ Content fetched: 9138 characters
[2026-02-28 04:56:27] [474/20416] Processing regulation ID 26186...
[2026-02-28 04:56:31]   ✓ Content fetched: 8792 characters
[2026-02-28 04:56:33] [475/20416] Processing regulation ID 26161...
[2026-02-28 04:56:37]   ✓ Content fetched: 5321 characters
[2026-02-28 04:56:39] [476/20416] Processing regulation ID 26160...
[2026-02-28 04:56:43]   ✓ Content fetched: 4230 characters
[2026-02-28 04:56:45] [477/20416] Processing regulation ID 26163...
[2026-02-28 04:56:48]   ✓ Content fetched: 7014 characters
[2026-02-28 04:56:50] [478/20416] Processing regulation ID 26146...
[2026-02-28 04:56:54]   ✓ Content fetched: 4639 characters
[2026-02-28 04:56:56] [479/20416] Processing regulation ID 26145...
[2026-02-28 04:57:00]   ✓ Content fetched: 3602 characters
[2026-02-28 04:57:02] [480/20416] Processing regulation ID 26164...
[2026-02-28 04:57:06]   ✓ Content fetched: 11951 characters
[2026-02-28 04:57:06] [PROGRESS] Saved: 480/20416 (2.4%) - With content: 480
[2026-02-28 04:57:08] [481/20416] Processing regulation ID 26162...
[2026-02-28 04:57:12]   ✓ Content fetched: 6407 characters
[2026-02-28 04:57:14] [482/20416] Processing regulation ID 26149...
[2026-02-28 04:57:17]   ✓ Content fetched: 5280 characters
[2026-02-28 04:57:19] [483/20416] Processing regulation ID 26182...
[2026-02-28 04:57:23]   ✓ Content fetched: 257 characters
[2026-02-28 04:57:25] [484/20416] Processing regulation ID 26151...
[2026-02-28 04:57:29]   ✓ Content fetched: 10418 characters
[2026-02-28 04:57:31] [485/20416] Processing regulation ID 26143...
[2026-02-28 04:57:35]   ✓ Content fetched: 2629 characters
[2026-02-28 04:57:37] [486/20416] Processing regulation ID 26139...
[2026-02-28 04:57:41]   ✓ Content fetched: 4635 characters
[2026-02-28 04:57:43] [487/20416] Processing regulation ID 26668...
[2026-02-28 04:57:46]   ✓ Content fetched: 10059 characters
[2026-02-28 04:57:48] [488/20416] Processing regulation ID 26405...
[2026-02-28 04:57:52]   ✓ Content fetched: 227 characters
[2026-02-28 04:57:54] [489/20416] Processing regulation ID 26150...
[2026-02-28 04:57:58]   ✓ Content fetched: 6486 characters
[2026-02-28 04:58:00] [490/20416] Processing regulation ID 26148...
[2026-02-28 04:58:04]   ✓ Content fetched: 10532 characters
[2026-02-28 04:58:04] [PROGRESS] Saved: 490/20416 (2.4%) - With content: 490
[2026-02-28 04:58:06] [491/20416] Processing regulation ID 26147...
[2026-02-28 04:58:10]   ✓ Content fetched: 3082 characters
[2026-02-28 04:58:12] [492/20416] Processing regulation ID 26132...
[2026-02-28 04:58:16]   ✓ Content fetched: 1804 characters
[2026-02-28 04:58:18] [493/20416] Processing regulation ID 26137...
[2026-02-28 04:58:21]   ✓ Content fetched: 232 characters
[2026-02-28 04:58:23] [494/20416] Processing regulation ID 26136...
[2026-02-28 04:58:27]   ✓ Content fetched: 251 characters
[2026-02-28 04:58:29] [495/20416] Processing regulation ID 26135...
[2026-02-28 04:58:33]   ✓ Content fetched: 215 characters
[2026-02-28 04:58:35] [496/20416] Processing regulation ID 26134...
[2026-02-28 04:58:39]   ✓ Content fetched: 12566 characters
[2026-02-28 04:58:41] [497/20416] Processing regulation ID 26131...
[2026-02-28 04:58:44]   ✓ Content fetched: 5428 characters
[2026-02-28 04:58:46] [498/20416] Processing regulation ID 26130...
[2026-02-28 04:58:50]   ✓ Content fetched: 7753 characters
[2026-02-28 04:58:52] [499/20416] Processing regulation ID 26144...
[2026-02-28 04:58:56]   ✓ Content fetched: 9423 characters
[2026-02-28 04:58:58] [500/20416] Processing regulation ID 26133...
[2026-02-28 04:59:01]   ✓ Content fetched: 2549 characters
[2026-02-28 04:59:01] [PROGRESS] Saved: 500/20416 (2.4%) - With content: 500
[2026-02-28 04:59:03] [501/20416] Processing regulation ID 26138...
[2026-02-28 04:59:07]   ✓ Content fetched: 3911 characters
[2026-02-28 04:59:09] [502/20416] Processing regulation ID 26125...
[2026-02-28 04:59:13]   ✓ Content fetched: 4647 characters
[2026-02-28 04:59:15] [503/20416] Processing regulation ID 26449...
[2026-02-28 04:59:20]   ✓ Content fetched: 111 characters
[2026-02-28 04:59:22] [504/20416] Processing regulation ID 26912...
[2026-02-28 04:59:26]   ✓ Content fetched: 8680 characters
[2026-02-28 04:59:28] [505/20416] Processing regulation ID 26127...
[2026-02-28 04:59:32]   ✓ Content fetched: 12706 characters
[2026-02-28 04:59:34] [506/20416] Processing regulation ID 26124...
[2026-02-28 04:59:38]   ✓ Content fetched: 1284 characters
[2026-02-28 04:59:40] [507/20416] Processing regulation ID 26119...
[2026-02-28 04:59:44]   ✓ Content fetched: 4663 characters
[2026-02-28 04:59:46] [508/20416] Processing regulation ID 26747...
[2026-02-28 04:59:50]   ✓ Content fetched: 5825 characters
[2026-02-28 04:59:52] [509/20416] Processing regulation ID 26140...
[2026-02-28 04:59:55]   ✓ Content fetched: 10749 characters
[2026-02-28 04:59:57] [510/20416] Processing regulation ID 26123...
[2026-02-28 05:00:01]   ✓ Content fetched: 4178 characters
[2026-02-28 05:00:01] [PROGRESS] Saved: 510/20416 (2.5%) - With content: 510
[2026-02-28 05:00:03] [511/20416] Processing regulation ID 26395...
[2026-02-28 05:00:07]   ✓ Content fetched: 10811 characters
[2026-02-28 05:00:09] [512/20416] Processing regulation ID 26129...
[2026-02-28 05:00:12]   ✓ Content fetched: 4371 characters
[2026-02-28 05:00:14] [513/20416] Processing regulation ID 26112...
[2026-02-28 05:00:18]   ✓ Content fetched: 2087 characters
[2026-02-28 05:00:20] [514/20416] Processing regulation ID 26111...
[2026-02-28 05:00:24]   ✓ Content fetched: 1733 characters
[2026-02-28 05:00:26] [515/20416] Processing regulation ID 26126...
[2026-02-28 05:00:30]   ✓ Content fetched: 5838 characters
[2026-02-28 05:00:32] [516/20416] Processing regulation ID 26118...
[2026-02-28 05:00:36]   ✓ Content fetched: 14663 characters
[2026-02-28 05:00:38] [517/20416] Processing regulation ID 26107...
[2026-02-28 05:00:42]   ✓ Content fetched: 4663 characters
[2026-02-28 05:00:44] [518/20416] Processing regulation ID 26465...
[2026-02-28 05:00:47]   ✓ Content fetched: 12784 characters
[2026-02-28 05:00:49] [519/20416] Processing regulation ID 26312...
[2026-02-28 05:00:53]   ✓ Content fetched: 11395 characters
[2026-02-28 05:00:55] [520/20416] Processing regulation ID 26914...
[2026-02-28 05:00:59]   ✓ Content fetched: 9731 characters
[2026-02-28 05:00:59] [PROGRESS] Saved: 520/20416 (2.5%) - With content: 520
[2026-02-28 05:01:01] [521/20416] Processing regulation ID 26706...
[2026-02-28 05:01:05]   ✓ Content fetched: 220 characters
[2026-02-28 05:01:07] [522/20416] Processing regulation ID 26120...
[2026-02-28 05:01:11]   ✓ Content fetched: 8236 characters
[2026-02-28 05:01:13] [523/20416] Processing regulation ID 26105...
[2026-02-28 05:01:17]   ✓ Content fetched: 11550 characters
[2026-02-28 05:01:19] [524/20416] Processing regulation ID 26104...
[2026-02-28 05:01:22]   ✓ Content fetched: 11229 characters
[2026-02-28 05:01:24] [525/20416] Processing regulation ID 26103...
[2026-02-28 05:01:28]   ✓ Content fetched: 13495 characters
[2026-02-28 05:01:30] [526/20416] Processing regulation ID 26102...
[2026-02-28 05:01:34]   ✓ Content fetched: 12768 characters
[2026-02-28 05:01:36] [527/20416] Processing regulation ID 26456...
[2026-02-28 05:01:40]   ✓ Content fetched: 7761 characters
[2026-02-28 05:01:42] [528/20416] Processing regulation ID 26099...
[2026-02-28 05:01:45]   ✓ Content fetched: 4659 characters
[2026-02-28 05:01:47] [529/20416] Processing regulation ID 26100...
[2026-02-28 05:01:51]   ✓ Content fetched: 2985 characters
[2026-02-28 05:01:53] [530/20416] Processing regulation ID 26096...
[2026-02-28 05:01:57]   ✓ Content fetched: 232 characters
[2026-02-28 05:01:57] [PROGRESS] Saved: 530/20416 (2.6%) - With content: 530
[2026-02-28 05:01:59] [531/20416] Processing regulation ID 26095...
[2026-02-28 05:02:03]   ✓ Content fetched: 251 characters
[2026-02-28 05:02:05] [532/20416] Processing regulation ID 26094...
[2026-02-28 05:02:08]   ✓ Content fetched: 215 characters
[2026-02-28 05:02:10] [533/20416] Processing regulation ID 26520...
[2026-02-28 05:02:14]   ✓ Content fetched: 8796 characters
[2026-02-28 05:02:16] [534/20416] Processing regulation ID 26742...
[2026-02-28 05:02:20]   ✓ Content fetched: 6684 characters
[2026-02-28 05:02:22] [535/20416] Processing regulation ID 26738...
[2026-02-28 05:02:25]   ✓ Content fetched: 10609 characters
[2026-02-28 05:02:27] [536/20416] Processing regulation ID 26092...
[2026-02-28 05:02:31]   ✓ Content fetched: 2576 characters
[2026-02-28 05:02:33] [537/20416] Processing regulation ID 26090...
[2026-02-28 05:02:38]   ✓ Content fetched: 4655 characters
[2026-02-28 05:02:40] [538/20416] Processing regulation ID 26128...
[2026-02-28 05:02:44]   ✓ Content fetched: 13215 characters
[2026-02-28 05:02:46] [539/20416] Processing regulation ID 26109...
[2026-02-28 05:02:50]   ✓ Content fetched: 7886 characters
[2026-02-28 05:02:52] [540/20416] Processing regulation ID 26108...
[2026-02-28 05:02:55]   ✓ Content fetched: 6235 characters
[2026-02-28 05:02:56] [PROGRESS] Saved: 540/20416 (2.6%) - With content: 540
[2026-02-28 05:02:58] [541/20416] Processing regulation ID 26091...
[2026-02-28 05:03:01]   ✓ Content fetched: 981 characters
[2026-02-28 05:03:03] [542/20416] Processing regulation ID 26521...
[2026-02-28 05:03:07]   ✓ Content fetched: 9686 characters
[2026-02-28 05:03:09] [543/20416] Processing regulation ID 26905...
[2026-02-28 05:03:13]   ✓ Content fetched: 4690 characters
[2026-02-28 05:03:15] [544/20416] Processing regulation ID 26097...
[2026-02-28 05:03:19]   ✓ Content fetched: 12171 characters
[2026-02-28 05:03:21] [545/20416] Processing regulation ID 26082...
[2026-02-28 05:03:25]   ✓ Content fetched: 952 characters
[2026-02-28 05:03:27] [546/20416] Processing regulation ID 26732...
[2026-02-28 05:03:31]   ✓ Content fetched: 11266 characters
[2026-02-28 05:03:33] [547/20416] Processing regulation ID 26116...
[2026-02-28 05:03:37]   ✓ Content fetched: 2369 characters
[2026-02-28 05:03:39] [548/20416] Processing regulation ID 26083...
[2026-02-28 05:03:42]   ✓ Content fetched: 4655 characters
[2026-02-28 05:03:44] [549/20416] Processing regulation ID 26756...
[2026-02-28 05:03:48]   ✓ Content fetched: 12626 characters
[2026-02-28 05:03:50] [550/20416] Processing regulation ID 26718...
[2026-02-28 05:03:54]   ✓ Content fetched: 221 characters
[2026-02-28 05:03:54] [PROGRESS] Saved: 550/20416 (2.7%) - With content: 550
[2026-02-28 05:03:56] [551/20416] Processing regulation ID 26115...
[2026-02-28 05:04:00]   ✓ Content fetched: 1919 characters
[2026-02-28 05:04:02] [552/20416] Processing regulation ID 26081...
[2026-02-28 05:04:05]   ✓ Content fetched: 2415 characters
[2026-02-28 05:04:07] [553/20416] Processing regulation ID 26079...
[2026-02-28 05:04:11]   ✓ Content fetched: 2311 characters
[2026-02-28 05:04:13] [554/20416] Processing regulation ID 26075...
[2026-02-28 05:04:17]   ✓ Content fetched: 4655 characters
[2026-02-28 05:04:19] [555/20416] Processing regulation ID 26746...
[2026-02-28 05:04:22]   ✓ Content fetched: 6216 characters
[2026-02-28 05:04:24] [556/20416] Processing regulation ID 26522...
[2026-02-28 05:04:28]   ✓ Content fetched: 9421 characters
[2026-02-28 05:04:30] [557/20416] Processing regulation ID 26086...
[2026-02-28 05:04:34]   ✓ Content fetched: 111 characters
[2026-02-28 05:04:36] [558/20416] Processing regulation ID 26072...
[2026-02-28 05:04:40]   ✓ Content fetched: 546 characters
[2026-02-28 05:04:42] [559/20416] Processing regulation ID 26101...
[2026-02-28 05:04:46]   ✓ Content fetched: 11084 characters
[2026-02-28 05:04:48] [560/20416] Processing regulation ID 26066...
[2026-02-28 05:04:52]   ✓ Content fetched: 4651 characters
[2026-02-28 05:04:52] [PROGRESS] Saved: 560/20416 (2.7%) - With content: 560
[2026-02-28 05:04:54] [561/20416] Processing regulation ID 26098...
[2026-02-28 05:04:58]   ✓ Content fetched: 11955 characters
[2026-02-28 05:05:00] [562/20416] Processing regulation ID 26085...
[2026-02-28 05:05:04]   ✓ Content fetched: 4399 characters
[2026-02-28 05:05:06] [563/20416] Processing regulation ID 26084...
[2026-02-28 05:05:10]   ✓ Content fetched: 13375 characters
[2026-02-28 05:05:12] [564/20416] Processing regulation ID 26074...
[2026-02-28 05:05:16]   ✓ Content fetched: 2783 characters
[2026-02-28 05:05:18] [565/20416] Processing regulation ID 26058...
[2026-02-28 05:05:21]   ✓ Content fetched: 11349 characters
[2026-02-28 05:05:23] [566/20416] Processing regulation ID 26701...
[2026-02-28 05:05:27]   ✓ Content fetched: 234 characters
[2026-02-28 05:05:29] [567/20416] Processing regulation ID 26332...
[2026-02-28 05:05:33]   ✓ Content fetched: 5548 characters
[2026-02-28 05:05:35] [568/20416] Processing regulation ID 26371...
[2026-02-28 05:05:39]   ✓ Content fetched: 12006 characters
[2026-02-28 05:05:41] [569/20416] Processing regulation ID 26227...
[2026-02-28 05:05:45]   ✓ Content fetched: 7614 characters
[2026-02-28 05:05:47] [570/20416] Processing regulation ID 26093...
[2026-02-28 05:05:51]   ✓ Content fetched: 2983 characters
[2026-02-28 05:05:51] [PROGRESS] Saved: 570/20416 (2.8%) - With content: 570
[2026-02-28 05:05:53] [571/20416] Processing regulation ID 26080...
